 20.000  21.000  22.000  22.500
5.077042e-01 57968 19360 16977 16962 3280 
5.098571e-01 57947 19360 16976 16950 3277 
5.120099e-01 57946 19360 16976 16949 3277 
5.141627e-01 57944 19360 16976 16948 3276 
5.163156e-01 57944 19360 16976 16948 3276 
5.184684e-01 57944 19360 16976 16948 3276 
5.206213e-01 57944 19360 16976 16948 3276 
5.227741e-01 57943 19360 16976 16948 3276 
5.249270e-01 57937 19360 16976 16944 3274 
5.270798e-01 57935 19360 16976 16943 3274 
5.292326e-01 57935 19360 16976 16943 3274 
5.313855e-01 57934 19360 16975 16943 3274 
5.335383e-01 57930 19360 16975 16939 3274 
5.356912e-01 57928 19360 16975 16937 3274 
5.378440e-01 57927 19360 16974 16937 3274 
5.399968e-01 57926 19360 16974 16936 3274 
5.421497e-01 57923 19360 16974 16933 3274 
5.443025e-01 57923 19360 16974 16933 3274 
5.464554e-01 57923 19360 16974 16933 3274 
5.486082e-01 57920 19360 16974 16930 3274 
5.507610e-01 57920 19360 16974 16930 3274 
5.529139e-01 57917 19360 16974 16927 3274 
5.550667e-01 57877 19360 16969 16914 3265 
5.572196e-01 57874 19360 16968 16912 3265 
5.593724e-01 57871 19360 16968 16911 3265 
5.615253e-01 57868 19360 16968 16908 3265 
5.636781e-01 57865 19360 16967 16906 3265 
5.658309e-01 57859 19360 16967 16904 3265 
5.679838e-01 57857 19360 16967 16903 3264 
5.701366e-01 57857 19360 16967 16903 3264 
5.722895e-01 57855 19360 16967 16902 3263 
5.744423e-01 57852 19360 16967 16899 3263 
5.765951e-01 57851 19360 16966 16899 3263 
5.787480e-01 57850 19360 16966 16898 3263 
5.809008e-01 57841 19360 16966 16890 3263 
5.830537e-01 57839 19360 16966 16888 3263 
5.852065e-01 57833 19360 16966 16887 3258 
5.873593e-01 57833 19360 16966 16887 3258 
5.895122e-01 57827 19360 16964 16884 3257 
5.916650e-01 57789 19356 16958 16863 3253 
5.938179e-01 57783 19356 16958 16858 3252 
5.959707e-01 57779 19356 16958 16855 3251 
5.981236e-01 57772 19356 16958 16853 3247 
6.002764e-01 57767 19356 16958 16849 3246 
6.024292e-01 57763 19356 16958 16845 3246 
6.045821e-01 57756 19356 16958 16842 3243 
6.067349e-01 57751 19356 16957 16839 3243 
6.088878e-01 57746 19356 16956 16836 3242 
6.110406e-01 57736 19356 16955 16831 3239 
6.131934e-01 57732 19356 16954 16828 3239 
6.153463e-01 57725 19356 16954 16822 3238 
6.174991e-01 57723 19356 16954 16820 3238 
6.196520e-01 57689 19354 16950 16800 3235 
6.218048e-01 57678 19354 16948 16792 3234 
6.239576e-01 57677 19354 16948 16792 3234 
6.261105e-01 57672 19354 16948 16790 3232 
6.282633e-01 57663 19354 16948 16785 3230 
6.304162e-01 57659 19353 16948 16784 3229 
6.325690e-01 57645 19353 16948 16774 3228 
6.347219e-01 57626 19353 16948 16772 3227 
6.368747e-01 57621 19353 16947 16769 3226 
6.390275e-01 57618 19353 16947 16766 3226 
6.411804e-01 57614 19352 16945 16765 3226 
6.433332e-01 57561 19344 16933 16740 3221 
6.454861e-01 57552 19344 16931 16737 3219 
6.476389e-01 57542 19343 16931 16730 3218 
6.497917e-01 57528 19343 16928 16722 3215 
6.519446e-01 57514 19343 16927 16712 3214 
6.540974e-01 57502 19343 16927 16705 3210 
6.562503e-01 57493 19343 16925 16701 3207 
6.584031e-01 57484 19342 16922 16699 3205 
6.605559e-01 57480 19342 16922 16697 3203 
6.627088e-01 57473 19342 16921 16694 3202 
6.648616e-01 57394 19329 16908 16662 3186 
6.670145e-01 57385 19329 16906 16660 3183 
6.691673e-01 57380 19329 16904 16658 3182 
6.713202e-01 57367 19327 16900 16653 3180 
6.734730e-01 57356 19327 16900 16644 3178 
